name,note,date
Forte,3.5,2014-03-10
Publikum,3,2014-03-10
Mvogo,5,2014-02-17
Sutter,3.5,2014-02-17
Von Bergen,3.5,2014-02-17
Vilotic,3.5,2014-02-17
Rochat,2,2014-02-17
Costanzo,4,2014-02-17
Gajic,4.5,2014-02-17
Martinez,5.5,2014-02-17
Kubo,4.5,2014-02-17
Nuzzolo,5,2014-02-17
Frey,4.5,2014-02-17
Forte,5,2014-02-17
Mvogo,4.5,2014-02-03
Hadergjonaj,4.5,2014-02-03
Rochat,4.5,2014-02-03
Wüthrich,5,2014-02-03
Sutter,4,2014-02-03
Gajic,4.5,2014-02-03
Costanzo,5,2014-02-03
Martinez,5,2014-02-03
Frey,4,2014-02-03
Nuzzolo,4,2014-02-03
Gerndt,4.5,2014-02-03
Forte,5,2014-02-03
Sutter,4.5,2013-12-02
von Bergen,5.5,2013-12-02
Veskovac,5,2013-12-02
Spycher,5,2013-12-02
Gaijc,4,2013-12-02
Costanzo,4.5,2013-12-02
Nuzzolo,5.5,2013-12-02
Frey,4.5,2013-12-02
Zarate,4.5,2013-12-02
Gerndt,5,2013-12-02
Kubo,5,2013-12-02
Uli,5.5,2013-12-02
Wölfli,5,2013-11-25
Sutter,4,2013-11-25
Von Bergen,4.5,2013-11-25
Rochat,3.5,2013-11-25
Spycher,4,2013-11-25
Gaijc,4,2013-11-25
Costanzo,4,2013-11-25
Nuzzolo,5,2013-11-25
Frey,4.5,2013-11-25
Zarate,4,2013-11-25
Gerndt,5.5,2013-11-25
Forte,5,2013-11-25
Wölfli,4.5,2013-08-12
Zverotic,5,2013-08-12
Von Bergen,5,2013-08-12
Veskovac,5,2013-08-12
Sutter,5,2013-08-12
Spycher,4.5,2013-08-12
Costanzo,5.5,2013-08-12
Zarate,5,2013-08-12
Kubo,4.5,2013-08-12
Nuzzolo,4.5,2013-08-12
Gerndt,5,2013-08-12
Forte,6,2013-08-12
Wölfli,4.5,2013-07-21
Zverotic,4.75,2013-07-21
Veskovac,4,2013-07-21
Von Bergen,5,2013-07-21
Sutter,5,2013-07-21
Spycher,5,2013-07-21
Costanzo,4.5,2013-07-21
Nuzzolo,5,2013-07-21
Zarate,5.25,2013-07-21
Frey,4.75,2013-07-21
Gerndt,5,2013-07-21
Forte,5,2013-07-21
Wölfli,5,2013-07-14
Zverotic,4.5,2013-07-14
Von Bergen,4.75,2013-07-14
Veskovac,4,2013-07-14
Sutter,4.75,2013-07-14
Spycher,4.5,2013-07-14
Costanzo,4.5,2013-07-14
Nuzzolo,4.25,2013-07-14
Zarate,4.75,2013-07-14
Frey,5.5,2013-07-14
Gerndt,5,2013-07-14
Forte,5,2013-07-14
Die YB-Sorgenkinder schlagen,GC,2013-05-08
Zverotic  ,4.5,2013-05-08
Spycher  ,5.5,2013-05-08
Bürki  ,4.5,2013-05-08
Raimondi  ,4.5,2013-05-08
Farnerud  ,5,2013-05-08
Schneuwly  ,4.5,2013-05-08
Costanzo  ,4.5,2013-05-08
Afum  ,5.5,2013-05-08
Gerndt  ,5,2013-05-08
Zverotic,2.5,2013-05-06
Gonzalez,3.5,2013-04-16
Nef,4,2013-04-16
Veskovac,4,2013-04-16
Bürki,3,2013-04-16
Farnerud,3.5,2013-04-16
Zverotic,2,2013-04-16
Doubaï,4,2013-04-16
Nuzzolo,4.5,2013-04-16
Costanzo,4,2013-04-16
Gerndt,4,2013-04-16
