name,date,score,market_value,market_value_norm,score_norm,performance
Christian Fassnacht,2012-08-05,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2012-08-12,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2012-08-19,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2012-08-26,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2012-09-02,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2012-09-09,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2012-09-16,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2012-09-23,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2012-09-30,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2012-10-07,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2012-10-14,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2012-10-21,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2012-10-28,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2012-11-04,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2012-11-11,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2012-11-18,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2012-11-25,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2012-12-02,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2012-12-09,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2012-12-16,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2012-12-23,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2012-12-30,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-01-06,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-01-13,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-01-20,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-01-27,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-02-03,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-02-10,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-02-17,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-02-24,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-03-03,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-03-10,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-03-17,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-03-24,0,110000.0,0.0,0.0,0.0
Christian Fassnacht,2013-03-31,0,110000.0,0.0,0.0,0.0
