name,correlation
Christian Fassnacht,0.8066495662248373
Christopher Martins Pereira,0.7946860832899438
Cédric Zesiger,0.7525459737522131
Dario Marzino,0.7946860832899438
David Von Ballmoos,0.7525459737522131
Esteban Petignat,0.7946860832899438
Fabian Lustenberger,0.7525459737522131
Felix Mambimbi,0.7946860832899438
Frederik Sörensen,0.7525459737522131
Gianluca Gaudino,0.7525459737522131
Guillaume Hoarau,0.7525459737522131
Jean-Pierre Nsame,0.7525459737522131
Jordan Lotomba,0.7525459737522131
Marco Wölfli,0.7525459737522131
Marvin Spielmann,0.7525459737522131
Michel Aebischer,0.7525459737522131
Miralem Sulejmani,0.1799336044540475
Mohamed Ali Camara,0.7525459737522131
Nicolas Bürgy,0.1799336044540475
Nicolas Moumi Ngamaleu,0.7525459737522131
Roger Assalé,0.1799336044540475
Saidy Janko,0.7525459737522131
Sandro Lauper,0.7525459737522131
Ulisses Garcia,0.7525459737522131
Vincent Sierro,0.7525459737522131
